gene	log2FC	p	padj	n
MTPAP	-0.724765399628131	8.45884692879701e-07	5.54551340203082e-05	148
PEAK1	-0.882270769278948	8.58040651496365e-07	5.60913431606767e-05	148
TRIM5	-0.774948037186574	8.63840000411654e-07	5.63095703972041e-05	148
DCLRE1B	-0.591722554016463	8.82252417525395e-07	5.73211828604749e-05	148
CDC5L	-0.772416390929212	8.86425208540585e-07	5.73211828604749e-05	148
PCSK5	-1.56444460164441	8.86874944606997e-07	5.73211828604749e-05	148
WDR7	-0.658017548995793	8.92929660834547e-07	5.74512529727936e-05	148
SEC22A	-0.579840319077191	8.96100008564825e-07	5.74512529727936e-05	148
ZNF594	-0.743794979209257	8.99416308976985e-07	5.74512529727936e-05	148
RBMX2	-0.510932676041157	9.00675180266053e-07	5.74512529727936e-05	148
